m,run,gold,majority_flex,majority_exact,bom_flex,bom_exact,total_think,total_toks
2,0,110,False,False,False,False,10054,10060
2,0,25,True,False,True,False,8006,10060
2,0,73,False,False,False,False,10056,10060
2,0,55,False,False,False,False,10056,10060
2,0,127,False,False,False,False,10054,10060
2,0,294,True,False,True,False,10054,10060
2,0,468,False,False,False,False,8008,10060
2,0,197,False,False,False,False,10056,10060
2,0,480,False,False,False,False,8008,10060
2,0,699,False,False,False,False,10056,10060
2,0,315,False,False,False,False,8008,10060
2,0,371,False,False,False,False,8006,10060
2,0,80,False,False,False,False,10056,10060
2,0,116,True,True,True,True,8436,9900
4,0,540,True,False,True,True,18061,20120
4,0,204,False,False,True,True,16012,20114
4,0,721,False,False,True,True,17037,20020
4,0,236,False,False,False,False,17039,20120
4,0,809,False,False,True,True,19087,20064
4,0,45,False,False,False,False,17040,20120
4,0,385,False,False,False,False,17040,20120
4,0,104,False,False,False,False,20111,20120
4,0,601,False,False,False,False,18064,20120
4,0,23,False,False,False,False,16016,20120
4,0,321,False,False,False,False,17038,20120
4,0,104,False,False,False,False,19087,20120
4,0,902,False,False,False,False,19084,19709
4,0,211,False,False,False,False,19087,20120
4,0,113,False,False,False,False,17039,20120
4,0,33,False,False,False,False,17036,20120
4,0,110,False,False,False,False,20112,20120
4,0,25,True,False,True,True,18831,20041
4,0,73,True,False,True,False,20111,20120
4,0,55,True,False,True,True,18063,19705
4,0,127,False,False,False,False,18063,20083
4,0,294,True,False,True,True,18827,19825
4,0,468,False,False,False,False,19087,20120
4,0,197,False,False,False,False,20112,20120
4,0,480,False,False,False,False,19088,20120
4,0,699,False,False,False,False,19086,20120
4,0,315,False,False,False,False,20111,20120
4,0,371,False,False,False,False,19087,20120
4,0,80,False,False,False,False,20109,20120
4,0,116,True,True,True,True,16013,19281
8,0,540,True,False,True,True,34270,40014
8,0,204,False,False,True,True,32029,40194
8,0,721,False,False,False,False,39199,40240
8,0,236,False,False,True,True,38173,39589
8,0,809,True,False,True,True,38173,39895
8,0,45,True,False,True,False,35102,40240
8,0,385,False,False,False,False,33053,40240
8,0,104,False,False,False,False,38170,40240
8,0,601,False,False,False,False,39195,40240
8,0,23,False,False,False,False,32031,40240
8,0,321,False,False,False,False,33054,40240
8,0,104,False,False,False,False,39192,40240
8,0,902,False,False,False,False,36128,39320
8,0,211,False,False,False,False,38171,40240
8,0,113,False,False,False,False,37149,40240
8,0,33,False,False,False,False,35099,40240
8,0,110,False,False,False,False,39508,40240
8,0,25,True,True,True,True,36853,38867
8,0,73,False,False,False,False,37151,39146
8,0,55,True,True,True,True,36047,38722
8,0,127,False,False,False,False,35103,40240
8,0,294,True,True,True,True,36587,39059
8,0,468,False,False,False,False,36123,40240
8,0,197,False,False,False,False,35102,40240
8,0,480,False,False,False,False,38173,40240
8,0,699,False,False,False,False,40222,40240
8,0,315,False,False,False,False,37150,39572
8,0,371,False,False,False,False,37149,39663
8,0,80,False,False,True,True,38176,40033
8,0,116,True,True,True,True,32026,38285
